City,Date,numPeople,numFamilies,Precipitation,Humidity,TempF,TempC,Tidal,Elevation
Jawa Tengah,2022-10-09,21187,6711,3.7,91.0,74.7,23.7,-0.0006639004149377594,2632.81640625
Kalimantan Barat,2022-10-08,46250,13150,6.9,94.0,77.6,25.3,-0.008132780082987552,114.5390625
Gorontalo,2022-10-08,1054,355,2.0,84.0,81.7,27.6,-0.00522821576763486,55.55078125
Sulawesi Selatan,2022-10-08,1075,215,2.0,84.0,81.7,27.6,0.0042738589211618275,532.796875
Kalimantan Tengah,2022-10-08,6881,2976,7.5,91.0,80.3,26.8,0.004564315352697096,72.46484375
Jawa Barat,2022-10-08,5969,2034,2.3,79.0,79.6,26.4,0.001161825726141079,733.0
Aceh,2022-10-08,2359,673,0.0,41.0,77.3,25.2,0.003651452282157675,1220.890625
Jawa Timur,2022-10-08,760,152,2.3,79.0,79.6,26.4,0.0034854771784232396,1072.65625
Sumatera Utara,2022-10-08,420,84,4.9,73.0,84.0,28.9,-0.0028215767634854755,1703.65625
Kalimantan Barat,2022-10-08,56204,15744,6.9,94.0,77.6,25.3,-0.008132780082987552,114.5390625
Nusa Tenggara Barat,2022-10-08,4035,1345,5.2,79.0,81.9,27.7,0.00709543568464731,607.34765625
Bali,2022-10-08,360,72,0.2,78.0,83.1,28.4,-0.04000000000000001,38.546875
Kalimantan Barat,2022-10-07,52888,13598,1.8,91.0,76.9,24.9,-0.001825726141078835,114.5390625
Jawa Tengah,2022-10-07,4300,1299,2.7,83.0,80.3,26.8,0.004522821576763485,2632.81640625
Jawa Barat,2022-10-07,120,57,3.4,81.0,78.5,25.8,0.003651452282157675,733.0
Kalimantan Barat,2022-10-07,250,50,1.8,91.0,76.9,24.9,-0.001825726141078835,114.5390625
Jawa Tengah,2022-10-07,19268,5464,2.7,83.0,80.3,26.8,0.004522821576763485,2632.81640625
Jawa Barat,2022-10-07,4500,900,3.4,81.0,78.5,25.8,0.003651452282157675,733.0
Banten,2022-10-07,1800,360,23.0,95.0,75.0,23.9,-0.0007053941908713671,64.37109375
Aceh,2022-10-07,545,109,0.0,43.0,76.7,24.9,0.01066390041493776,1220.890625
Aceh,2022-10-07,5323,1424,0.0,43.0,76.7,24.9,0.01066390041493776,1220.890625
Jawa Tengah,2022-10-07,1481,370,2.7,83.0,80.3,26.8,0.004522821576763485,2632.81640625
Jawa Barat,2022-10-07,3060,765,3.4,81.0,78.5,25.8,0.003651452282157675,733.0
Jawa Timur,2022-10-07,1130,226,3.4,81.0,78.5,25.8,0.010456431535269707,1072.65625
